Primary Breed,Description,LeeListing,Num2011,Num2013,Num2015,Total
AFFENPINSCHER,Affenpinscher,Affenpinscher,15,16,17,48
AFGHAN HOUND,Afghan Hound,Afghan Hound,4,5,6,15
AIREDALE TERR,Airedale Terrier,.na,176,149,131,456
AKBASH,Akbash,.na,3,8,5,16
AKITA,Akita,Akita,70,70,79,219
ALAPAHA BLUE BL,Alapaha Blue Blood Bulldog,.na,0,0,1,1
ALASK KLEE KAI,Alaskan Klee Kai,.na,6,7,10,23
ALASK MALAMUTE,Alaskan Malamute,.na,116,84,117,317
ALASKAN HUSKY,Alaskan Husky,.na,28,48,115,191
AM PIT BULL TER,American Pit Bull Terrier,.na,37,28,38,103
AMER BULLDOG,American Bulldog,.na,166,192,397,755
AMER ESKIMO,American Eskimo,.na,347,289,278,914
AMER FOXHOUND,American Foxhound,American Foxhound,28,22,25,75
AMER STAFF,American Staffordshire Terrier,American Staffordshire Terrier,90,66,59,215
AMER WATER SPAN,American Water Spaniel,American Water Spaniel,4,6,5,15
ANATOL SHEPHERD,Anatolian Shepherd,.na,7,12,4,23
AUST CATTLE DOG,Australian Cattle Dog,Australian Cattle Dog,182,158,178,518
AUST KELPIE,Australian Kelpie,.na,20,14,24,58
AUST SHEPHERD,Australian Shepherd,Australian Shepherd,760,736,850,2346
AUST TERRIER,Australian Terrier,Australian Terrier,31,28,21,80
BARBET,Barbet,.na,2,1,2,5
BASENJI,Basenji,Basenji,38,38,56,132
BASSET HOUND,Basset Hound,Basset Hound,239,207,194,640
BATAM BULLDOG,,.na,0,0,1,1
BEAGLE,Beagle,Beagle,1633,1436,1387,4456
BEARDED COLLIE,Bearded Collie,Bearded Collie,95,80,85,260
BEAUCERON,Beauceron,.na,3,4,5,12
BEDLINGTON TERR,Bedlington Terrier,Bedlington Terrier,19,21,19,59
BELG MALINOIS,Belgian Malinois,Belgian Malinois,44,42,65,151
BELG SHEEPDOG,Belgian Sheepdog,Belgian Sheepdog,22,22,25,69
BELG TERVUREN,Belgian Tervuren,.na,10,8,10,28
BELGIAN SHEPHER,,.na,0,0,1,1
BERNESE HOUND,,.na,0,0,3,3
BERNESE MTN DOG,Bernese Mountain Dog,Bernese Mountain Dog,375,354,392,1121
BICHON FRISE,Bichon Frise,Bichon Frise,1551,1283,1232,4066
BLACK LAB,,.na,2,0,2,4
BLACK MOUTH CUR,,.na,0,0,7,7
BLACK RUSSIAN T,,.na,0,0,1,1
BLACK/TAN HOUND,Black and Tan Coonound,.na,59,43,40,142
BLOODHOUND,Bloodhound,Bloodhound,18,17,21,56
BLUE LACY,Blue Lacy,.na,0,1,1,2
BLUETICK HOUND,Bluetick Coonhound,.na,27,17,15,59
BOERBOEL,Boerboel,.na,12,8,11,31
BOLOGNESE,Bolognese,.na,1,1,1,3
BORDER COLLIE,Border Collie,Border Collie,1433,1245,1249,3927
BORDER TERRIER,Border Terrier,Border Terrier,159,158,154,471
BORZOI,Borzoi,Borzoi,3,3,2,8
BOSTON TERRIER,Boston Terrier,Boston Terrier,672,629,695,1996
BOUV FLANDRES,Bouvier des Flandres,.na,166,122,113,401
BOXER,Boxer,Boxer,847,832,939,2618
BRIARD,Briard,Briard,26,23,14,63
BRITISH SH,Brittany Spaniel,Brittany,193,157,161,511
BRUSS GRIFFON,Brussels Griffon,.na,68,62,61,191
BULL TERR MIN,Bull Terrier,Bull Terrier,86,70,8,164
BULL TERRIER,Bull Terrier - Miniature,.na,7,7,90,104
BULLDOG,Bulldog,.na,163,138,138,439
BULLMASTIFF,Bullmastiff,Bullmastiff,100,89,115,304
CAIRN TERRIER,Cairn Terrier,Cairn Terrier,334,268,282,884
CANAAN DOG,Canaan Dog,.na,3,4,8,15
CANE CORSO,Cane Corso,.na,132,147,204,483
CARDIGAN WELSH,,.na,0,0,1,1
CAROLINA DOG,Carolina Dog,.na,2,6,4,12
CATAHOULA,Catahoula Leopard Hound,.na,41,43,61,145
CATTLE DOG,,.na,1,0,0,1
